(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(193701, 53, 4);[100, 10, 200, 100];410;קירק;51079;(4, 4, 19, 9, 51079);קדש;1;(4, 4, 19, 29, 193701);וזאת עשו להם וחיו ולא ימתו בגשתם את קדש הקדשים אהרן ובניו יבאו ושמו אותם איש איש על עבדתו ואל משאו
(27169, 54, 4);[100, 10, 200, 100];410;קירק;7252;(1, 22, 3, 18, 7252);ויקם;3;(1, 22, 3, 66, 27169);וישכם אברהם בבקר ויחבש את חמרו ויקח את שני נעריו אתו ואת יצחק בנו ויבקע עצי עלה ויקם וילך אל המקום אשר אמר לו האלהים
(49119, 54, 4);[100, 10, 200, 100];410;קירק;13088;(1, 33, 19, 3, 13088);חלקת;3;(1, 33, 19, 9, 49119);ויקן את חלקת השדה אשר נטה שם אהלו מיד בני חמור אבי שכם במאה קשיטה
(150544, 54, 4);[100, 10, 200, 100];410;קירק;39711;(3, 7, 34, 6, 39711);שוק;3;(3, 7, 34, 19, 150544);כי את חזה התנופה ואת שוק התרומה לקחתי מאת בני ישראל מזבחי שלמיהם ואתן אתם לאהרן הכהן ולבניו לחק עולם מאת בני ישראל
(34695, 55, 4);[100, 10, 200, 100];410;קירק;9236;(1, 26, 5, 9, 9236);חקותי;2;(1, 26, 5, 36, 34695);עקב אשר שמע אברהם בקלי וישמר משמרתי מצותי חקותי ותורתי
(198331, 55, 4);[100, 10, 200, 100];410;קירק;52302;(4, 7, 1, 10, 52302);ויקדש;3;(4, 7, 1, 38, 198331);ויהי ביום כלות משה להקים את המשכן וימשח אתו ויקדש אתו ואת כל כליו ואת המזבח ואת כל כליו וימשחם ויקדש אתם
(21202, 58, 4);[100, 10, 200, 100];410;קירק;5668;(1, 18, 16, 1, 5668);ויקמו;3;(1, 18, 16, 3, 21202);ויקמו משם האנשים וישקפו על פני סדם ואברהם הלך עמם לשלחם
(135668, 58, 4);[100, 10, 200, 100];410;קירק;35777;(2, 37, 19, 11, 35777);בקנה;2;(2, 37, 19, 49, 135668);שלשה גבעים משקדים בקנה האחד כפתר ופרח ושלשה גבעים משקדים בקנה אחד כפתר ופרח כן לששת הקנים היצאים מן המנרה
(176441, 59, 4);[100, 10, 200, 100];410;קירק;46729;(3, 23, 7, 4, 46729);קדש;1;(3, 23, 7, 15, 176441);ביום הראשון מקרא קדש יהיה לכם כל מלאכת עבדה לא תעשו
(18201, 61, 4);[100, 10, 200, 100];410;קירק;4882;(1, 15, 19, 2, 4882);הקיני;2;(1, 15, 19, 4, 18201);את הקיני ואת הקנזי ואת הקדמני
(148839, 64, 4);[100, 10, 200, 100];410;קירק;39265;(3, 6, 20, 15, 39265);במקום;3;(3, 6, 20, 51, 148839);כל אשר יגע בבשרה יקדש ואשר יזה מדמה על הבגד אשר יזה עליה תכבס במקום קדש
(426, 66, 4);[100, 10, 200, 100];410;קירק;110;(1, 1, 10, 7, 110);קרא;1;(1, 1, 10, 29, 426);ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב
(199540, 68, 4);[100, 10, 200, 100];410;קירק;52615;(4, 7, 26, 6, 52615);קטרת;1;(4, 7, 26, 17, 199540);כף אחת עשרה זהב מלאה קטרת
(151514, 69, 4);[100, 10, 200, 100];410;קירק;39972;(3, 8, 15, 2, 39972);ויקח;3;(3, 8, 15, 8, 151514);וישחט ויקח משה את הדם ויתן על קרנות המזבח סביב באצבעו ויחטא את המזבח ואת הדם יצק אל יסוד המזבח ויקדשהו לכפר עליו
(127098, 72, 4);[100, 10, 200, 100];410;קירק;33523;(2, 32, 24, 5, 33523);התפרקו;5;(2, 32, 24, 18, 127098);ואמר להם למי זהב התפרקו ויתנו לי ואשלכהו באש ויצא העגל הזה
(86871, 73, 4);[100, 10, 200, 100];410;קירק;22904;(2, 7, 11, 1, 22904);ויקרא;3;(2, 7, 11, 3, 86871);ויקרא גם פרעה לחכמים ולמכשפים ויעשו גם הם חרטמי מצרים בלהטיהם כן
(195674, 76, 4);[100, 10, 200, 100];410;קירק;51588;(4, 5, 9, 8, 51588);יקריבו;2;(4, 5, 9, 28, 195674);וכל תרומה לכל קדשי בני ישראל אשר יקריבו לכהן לו יהיה
(300710, 76, 4);[100, 10, 200, 100];410;קירק;78909;(5, 32, 6, 11, 78909);קנך;1;(5, 32, 6, 37, 300710);הליהוה תגמלו זאת עם נבל ולא חכם הלוא הוא אביך קנך הוא עשך ויכננך
(170296, 77, 4);[100, 10, 200, 100];410;קירק;45060;(3, 19, 2, 12, 45060);קדוש;1;(3, 19, 2, 39, 170296);דבר אל כל עדת בני ישראל ואמרת אלהם קדשים תהיו כי קדוש אני יהוה אלהיכם
(53974, 78, 4);[100, 10, 200, 100];410;קירק;14376;(1, 36, 42, 2, 14376);קנז;1;(1, 36, 42, 5, 53974);אלוף קנז אלוף תימן אלוף מבצר
(258166, 78, 4);[100, 10, 200, 100];410;קירק;67817;(5, 4, 29, 1, 67817);ובקשתם;3;(5, 4, 29, 3, 258166);ובקשתם משם את יהוה אלהיך ומצאת כי תדרשנו בכל לבבך ובכל נפשך
(290291, 80, 4);[100, 10, 200, 100];410;קירק;76215;(5, 27, 1, 3, 76215);וזקני;3;(5, 27, 1, 10, 290291);ויצו משה וזקני ישראל את העם לאמר שמר את כל המצוה אשר אנכי מצוה אתכם היום
(27821, 81, 4);[100, 10, 200, 100];410;קירק;7423;(1, 22, 14, 1, 7423);ויקרא;3;(1, 22, 14, 3, 27821);ויקרא אברהם שם המקום ההוא יהוה יראה אשר יאמר היום בהר יהוה יראה
(22178, 84, 4);[100, 10, 200, 100];410;קירק;5915;(1, 18, 33, 10, 5915);למקמו;3;(1, 18, 33, 37, 22178);וילך יהוה כאשר כלה לדבר אל אברהם ואברהם שב למקמו
(116132, 84, 4);[100, 10, 200, 100];410;קירק;30696;(2, 26, 17, 12, 30696);קרשי;1;(2, 26, 17, 39, 116132);שתי ידות לקרש האחד משלבת אשה אל אחתה כן תעשה לכל קרשי המשכן
(225689, 84, 4);[100, 10, 200, 100];410;קירק;59512;(4, 22, 7, 14, 59512);בלק;3;(4, 22, 7, 60, 225689);וילכו זקני מואב וזקני מדין וקסמים בידם ויבאו אל בלעם וידברו אליו דברי בלק
(178659, 87, 4);[100, 10, 200, 100];410;קירק;47282;(3, 24, 3, 15, 47282);חקת;2;(3, 24, 3, 55, 178659);מחוץ לפרכת העדת באהל מועד יערך אתו אהרן מערב עד בקר לפני יהוה תמיד חקת עולם לדרתיכם
(195907, 95, 4);[100, 10, 200, 100];410;קירק;51653;(4, 5, 14, 15, 51653);וקנא;2;(4, 5, 14, 52, 195907);ועבר עליו רוח קנאה וקנא את אשתו והוא נטמאה או עבר עליו רוח קנאה וקנא את אשתו והיא לא נטמאה
(34860, 96, 4);[100, 10, 200, 100];410;קירק;9277;(1, 26, 8, 16, 9277);מצחק;4;(1, 26, 8, 63, 34860);ויהי כי ארכו לו שם הימים וישקף אבימלך מלך פלשתים בעד החלון וירא והנה יצחק מצחק את רבקה אשתו
(174606, 96, 4);[100, 10, 200, 100];410;קירק;46235;(3, 22, 2, 14, 46235);קדשי;1;(3, 22, 2, 48, 174606);דבר אל אהרן ואל בניו וינזרו מקדשי בני ישראל ולא יחללו את שם קדשי אשר הם מקדשים לי אני יהוה
(114741, 99, 4);[100, 10, 200, 100];410;קירק;30361;(2, 25, 31, 9, 30361);וקנה;2;(2, 25, 31, 37, 114741);ועשית מנרת זהב טהור מקשה תיעשה המנורה ירכה וקנה גביעיה כפתריה ופרחיה ממנה יהיו
(282460, 2, 4);[90, 200, 30, 10];330;צרלי;74126;(5, 20, 19, 2, 74126);תצור;2;(5, 20, 19, 4, 282460);כי תצור אל עיר ימים רבים להלחם עליה לתפשה לא תשחית את עצה לנדח עליו גרזן כי ממנו תאכל ואתו לא תכרת כי האדם עץ השדה לבא מפניך במצור
(72180, 3, 4);[90, 200, 30, 10];330;צרלי;19082;(1, 47, 6, 1, 19082);ארץ;3;(1, 47, 6, 3, 72180);ארץ מצרים לפניך הוא במיטב הארץ הושב את אביך ואת אחיך ישבו בארץ גשן ואם ידעת ויש בם אנשי חיל ושמתם שרי מקנה על אשר לי
(47380, 5, 4);[90, 200, 30, 10];330;צרלי;12619;(1, 32, 18, 1, 12619);ויצו;3;(1, 32, 18, 3, 47380);ויצו את הראשון לאמר כי יפגשך עשו אחי ושאלך לאמר למי אתה ואנה תלך ולמי אלה לפניך
(87055, 5, 4);[90, 200, 30, 10];330;צרלי;22952;(2, 7, 15, 8, 22952);ונצבת;3;(2, 7, 15, 26, 87055);לך אל פרעה בבקר הנה יצא המימה ונצבת לקראתו על שפת היאר והמטה אשר נהפך לנחש תקח בידך
(251952, 5, 4);[90, 200, 30, 10];330;צרלי;66193;(5, 1, 36, 10, 66193);הארץ;4;(5, 1, 36, 34, 251952);זולתי כלב בן יפנה הוא יראנה ולו אתן את הארץ אשר דרך בה ולבניו יען אשר מלא אחרי יהוה
(99784, 6, 4);[90, 200, 30, 10];330;צרלי;26319;(2, 14, 30, 8, 26319);מצרים;2;(2, 14, 30, 29, 99784);ויושע יהוה ביום ההוא את ישראל מיד מצרים וירא ישראל את מצרים מת על שפת הים
(299581, 6, 4);[90, 200, 30, 10];330;צרלי;78611;(5, 31, 17, 25, 78611);מצאוני;2;(5, 31, 17, 97, 299581);וחרה אפי בו ביום ההוא ועזבתים והסתרתי פני מהם והיה לאכל ומצאהו רעות רבות וצרות ואמר ביום ההוא הלא על כי אין אלהי בקרבי מצאוני הרעות האלה
(61202, 7, 4);[90, 200, 30, 10];330;צרלי;16246;(1, 41, 23, 8, 16246);צמחות;1;(1, 41, 23, 31, 61202);והנה שבע שבלים צנמות דקות שדפות קדים צמחות אחריהם
(120107, 7, 4);[90, 200, 30, 10];330;צרלי;31684;(2, 28, 36, 2, 31684);ציץ;3;(2, 28, 36, 8, 120107);ועשית ציץ זהב טהור ופתחת עליו פתוחי חתם קדש ליהוה
(207564, 7, 4);[90, 200, 30, 10];330;צרלי;54698;(4, 11, 17, 5, 54698);ואצלתי;3;(4, 11, 17, 20, 207564);וירדתי ודברתי עמך שם ואצלתי מן הרוח אשר עליך ושמתי עליהם ונשאו אתך במשא העם ולא תשא אתה לבדך
(15466, 8, 4);[90, 200, 30, 10];330;צרלי;4145;(1, 13, 7, 15, 4145);בארץ;4;(1, 13, 7, 57, 15466);ויהי ריב בין רעי מקנה אברם ובין רעי מקנה לוט והכנעני והפרזי אז ישב בארץ
(89486, 9, 4);[90, 200, 30, 10];330;צרלי;23573;(2, 8, 26, 1, 23573);ויצא;3;(2, 8, 26, 3, 89486);ויצא משה מעם פרעה ויעתר אל יהוה
(95984, 9, 4);[90, 200, 30, 10];330;צרלי;25326;(2, 12, 34, 6, 25326);יחמץ;4;(2, 12, 34, 20, 95984);וישא העם את בצקו טרם יחמץ משארתם צררת בשמלתם על שכמם
(235203, 9, 4);[90, 200, 30, 10];330;צרלי;61965;(4, 28, 2, 1, 61965);צו;1;(4, 28, 2, 1, 235203);צו את בני ישראל ואמרת אלהם את קרבני לחמי לאשי ריח ניחחי תשמרו להקריב לי במועדו
(62947, 11, 4);[90, 200, 30, 10];330;צרלי;16715;(1, 41, 56, 17, 16715);בארץ;4;(1, 41, 56, 62, 62947);והרעב היה על כל פני הארץ ויפתח יוסף את כל אשר בהם וישבר למצרים ויחזק הרעב בארץ מצרים
(282600, 11, 4);[90, 200, 30, 10];330;צרלי;74167;(5, 20, 20, 14, 74167);מצור;2;(5, 20, 20, 42, 282600);רק עץ אשר תדע כי לא עץ מאכל הוא אתו תשחית וכרת ובנית מצור על העיר אשר הוא עשה עמך מלחמה עד רדתה
(78930, 13, 4);[90, 200, 30, 10];330;צרלי;20829;(2, 1, 20, 6, 20829);ויעצמו;4;(2, 1, 20, 27, 78930);וייטב אלהים למילדת וירב העם ויעצמו מאד
(243215, 13, 4);[90, 200, 30, 10];330;צרלי;63981;(4, 32, 23, 11, 63981);תמצא;3;(4, 32, 23, 41, 243215);ואם לא תעשון כן הנה חטאתם ליהוה ודעו חטאתכם אשר תמצא אתכם
(43425, 14, 4);[90, 200, 30, 10];330;צרלי;11574;(1, 30, 40, 11, 11574);בצאן;2;(1, 30, 40, 40, 43425);והכשבים הפריד יעקב ויתן פני הצאן אל עקד וכל חום בצאן לבן וישת לו עדרים לבדו ולא שתם על צאן לבן
(175496, 14, 4);[90, 200, 30, 10];330;צרלי;46480;(3, 22, 19, 1, 46480);לרצנכם;3;(3, 22, 19, 3, 175496);לרצנכם תמים זכר בבקר בכשבים ובעזים
(115476, 15, 4);[90, 200, 30, 10];330;צרלי;30535;(2, 26, 5, 9, 30535);בקצה;3;(2, 26, 5, 40, 115476);חמשים ללאת תעשה ביריעה האחת וחמשים ללאת תעשה בקצה היריעה אשר במחברת השנית מקבילת הללאת אשה אל אחתה
(256009, 15, 4);[90, 200, 30, 10];330;צרלי;67263;(5, 3, 25, 5, 67263);הארץ;4;(5, 3, 25, 18, 256009);אעברה נא ואראה את הארץ הטובה אשר בעבר הירדן ההר הטוב הזה והלבנן
(85338, 16, 4);[90, 200, 30, 10];330;צרלי;22508;(2, 6, 11, 6, 22508);מצרים;2;(2, 6, 11, 16, 85338);בא דבר אל פרעה מלך מצרים וישלח את בני ישראל מארצו
(264738, 16, 4);[90, 200, 30, 10];330;צרלי;69497;(5, 8, 10, 8, 69497);הארץ;4;(5, 8, 10, 32, 264738);ואכלת ושבעת וברכת את יהוה אלהיך על הארץ הטבה אשר נתן לך
(268080, 17, 4);[90, 200, 30, 10];330;צרלי;70346;(5, 10, 13, 3, 70346);מצות;2;(5, 10, 13, 8, 268080);לשמר את מצות יהוה ואת חקתיו אשר אנכי מצוך היום לטוב לך
(70839, 18, 4);[90, 200, 30, 10];330;צרלי;18733;(1, 46, 12, 11, 18733);בארץ;4;(1, 46, 12, 43, 70839);ובני יהודה ער ואונן ושלה ופרץ וזרח וימת ער ואונן בארץ כנען ויהיו בני פרץ חצרן וחמול
(92820, 18, 4);[90, 200, 30, 10];330;צרלי;24479;(2, 10, 19, 19, 24479);מצרים;2;(2, 10, 19, 66, 92820);ויהפך יהוה רוח ים חזק מאד וישא את הארבה ויתקעהו ימה סוף לא נשאר ארבה אחד בכל גבול מצרים
(175615, 18, 4);[90, 200, 30, 10];330;צרלי;46512;(3, 22, 21, 16, 46512);לרצון;3;(3, 22, 21, 59, 175615);ואיש כי יקריב זבח שלמים ליהוה לפלא נדר או לנדבה בבקר או בצאן תמים יהיה לרצון כל מום לא יהיה בו
(127161, 19, 4);[90, 200, 30, 10];330;צרלי;33541;(2, 32, 25, 11, 33541);לשמצה;4;(2, 32, 25, 34, 127161);וירא משה את העם כי פרע הוא כי פרעה אהרן לשמצה בקמיהם
(74156, 20, 4);[90, 200, 30, 10];330;צרלי;19590;(1, 48, 5, 11, 19590);מצרימה;2;(1, 48, 5, 40, 74156);ועתה שני בניך הנולדים לך בארץ מצרים עד באי אליך מצרימה לי הם אפרים ומנשה כראובן ושמעון יהיו לי
(270191, 22, 4);[90, 200, 30, 10];330;צרלי;70882;(5, 11, 28, 6, 70882);מצות;2;(5, 11, 28, 19, 270191);והקללה אם לא תשמעו אל מצות יהוה אלהיכם וסרתם מן הדרך אשר אנכי מצוה אתכם היום ללכת אחרי אלהים אחרים אשר לא ידעתם
(243666, 23, 4);[90, 200, 30, 10];330;צרלי;64095;(4, 32, 32, 6, 64095);ארץ;3;(4, 32, 32, 25, 243666);נחנו נעבר חלוצים לפני יהוה ארץ כנען ואתנו אחזת נחלתנו מעבר לירדן
(276656, 23, 4);[90, 200, 30, 10];330;צרלי;72567;(5, 16, 3, 16, 72567);מצרים;2;(5, 16, 3, 57, 276656);לא תאכל עליו חמץ שבעת ימים תאכל עליו מצות לחם עני כי בחפזון יצאת מארץ מצרים למען תזכר את יום צאתך מארץ מצרים כל ימי חייך
(22505, 24, 4);[90, 200, 30, 10];330;צרלי;5996;(1, 19, 6, 1, 5996);ויצא;3;(1, 19, 6, 3, 22505);ויצא אלהם לוט הפתחה והדלת סגר אחריו
(53534, 24, 4);[90, 200, 30, 10];330;צרלי;14265;(1, 36, 30, 11, 14265);בארץ;4;(1, 36, 30, 45, 53534);אלוף דשן אלוף אצר אלוף דישן אלה אלופי החרי לאלפיהם בארץ שעיר
(277664, 24, 4);[90, 200, 30, 10];330;צרלי;72824;(5, 16, 20, 2, 72824);צדק;1;(5, 16, 20, 4, 277664);צדק צדק תרדף למען תחיה וירשת את הארץ אשר יהוה אלהיך נתן לך
(9450, 25, 4);[90, 200, 30, 10];330;צרלי;2532;(1, 8, 7, 4, 2532);ויצא;3;(1, 8, 7, 14, 9450);וישלח את הערב ויצא יצוא ושוב עד יבשת המים מעל הארץ
(153471, 25, 4);[90, 200, 30, 10];330;צרלי;40499;(3, 9, 10, 14, 40499);צוה;1;(3, 9, 10, 52, 153471);ואת החלב ואת הכלית ואת היתרת מן הכבד מן החטאת הקטיר המזבחה כאשר צוה יהוה את משה
(294182, 25, 4);[90, 200, 30, 10];330;צרלי;77231;(5, 28, 52, 21, 77231);ארצך;3;(5, 28, 52, 75, 294182);והצר לך בכל שעריך עד רדת חמתיך הגבהת והבצרות אשר אתה בטח בהן בכל ארצך והצר לך בכל שעריך בכל ארצך אשר נתן יהוה אלהיך לך
(22110, 26, 4);[90, 200, 30, 10];330;צרלי;5898;(1, 18, 32, 10, 5898);ימצאון;3;(1, 18, 32, 36, 22110);ויאמר אל נא יחר לאדני ואדברה אך הפעם אולי ימצאון שם עשרה ויאמר לא אשחית בעבור העשרה
(92608, 27, 4);[90, 200, 30, 10];330;צרלי;24424;(2, 10, 15, 24, 24424);בעץ;3;(2, 10, 15, 78, 92608);ויכס את עין כל הארץ ותחשך הארץ ויאכל את כל עשב הארץ ואת כל פרי העץ אשר הותיר הברד ולא נותר כל ירק בעץ ובעשב השדה בכל ארץ מצרים
(47560, 28, 4);[90, 200, 30, 10];330;צרלי;12667;(1, 32, 20, 20, 12667);במצאכם;3;(1, 32, 20, 69, 47560);ויצו גם את השני גם את השלישי גם את כל ההלכים אחרי העדרים לאמר כדבר הזה תדברון אל עשו במצאכם אתו
(300636, 28, 4);[90, 200, 30, 10];330;צרלי;78888;(5, 32, 4, 12, 78888);צדיק;1;(5, 32, 4, 40, 300636);הצור תמים פעלו כי כל דרכיו משפט אל אמונה ואין עול צדיק וישר הוא
(44241, 29, 4);[90, 200, 30, 10];330;צרלי;11784;(1, 31, 13, 8, 11784);מצבה;2;(1, 31, 13, 23, 44241);אנכי האל בית אל אשר משחת שם מצבה אשר נדרת לי שם נדר עתה קום צא מן הארץ הזאת ושוב אל ארץ מולדתך
(24342, 30, 4);[90, 200, 30, 10];330;צרלי;6482;(1, 20, 1, 4, 6482);ארצה;3;(1, 20, 1, 15, 24342);ויסע משם אברהם ארצה הנגב וישב בין קדש ובין שור ויגר בגרר
(176402, 30, 4);[90, 200, 30, 10];330;צרלי;46720;(3, 23, 6, 7, 46720);המצות;3;(3, 23, 6, 24, 176402);ובחמשה עשר יום לחדש הזה חג המצות ליהוה שבעת ימים מצות תאכלו
(71442, 31, 4);[90, 200, 30, 10];330;צרלי;18893;(1, 46, 27, 6, 18893);במצרים;3;(1, 46, 27, 19, 71442);ובני יוסף אשר ילד לו במצרים נפש שנים כל הנפש לבית יעקב הבאה מצרימה שבעים
(104567, 31, 4);[90, 200, 30, 10];330;צרלי;27585;(2, 18, 9, 11, 27585);הצילו;2;(2, 18, 9, 38, 104567);ויחד יתרו על כל הטובה אשר עשה יהוה לישראל אשר הצילו מיד מצרים
(255172, 31, 4);[90, 200, 30, 10];330;צרלי;67045;(5, 3, 12, 2, 67045);הארץ;4;(5, 3, 12, 7, 255172);ואת הארץ הזאת ירשנו בעת ההוא מערער אשר על נחל ארנן וחצי הר הגלעד ועריו נתתי לראובני ולגדי
(7452, 32, 4);[90, 200, 30, 10];330;צרלי;1992;(1, 6, 13, 17, 1992);הארץ;4;(1, 6, 13, 62, 7452);ויאמר אלהים לנח קץ כל בשר בא לפני כי מלאה הארץ חמס מפניהם והנני משחיתם את הארץ
(8951, 32, 4);[90, 200, 30, 10];330;צרלי;2400;(1, 7, 21, 6, 2400);הארץ;4;(1, 7, 21, 20, 8951);ויגוע כל בשר הרמש על הארץ בעוף ובבהמה ובחיה ובכל השרץ השרץ על הארץ וכל האדם
(46828, 32, 4);[90, 200, 30, 10];330;צרלי;12480;(1, 32, 8, 4, 12480);ויצר;3;(1, 32, 8, 15, 46828);ויירא יעקב מאד ויצר לו ויחץ את העם אשר אתו ואת הצאן ואת הבקר והגמלים לשני מחנות
(264320, 32, 4);[90, 200, 30, 10];330;צרלי;69385;(5, 8, 2, 21, 69385);מצותו;2;(5, 8, 2, 81, 264320);וזכרת את כל הדרך אשר הוליכך יהוה אלהיך זה ארבעים שנה במדבר למען ענתך לנסתך לדעת את אשר בלבבך התשמר מצותו אם לא
(289517, 32, 4);[90, 200, 30, 10];330;צרלי;76027;(5, 26, 9, 8, 76027);הארץ;4;(5, 26, 9, 29, 289517);ויבאנו אל המקום הזה ויתן לנו את הארץ הזאת ארץ זבת חלב ודבש
(84139, 33, 4);[90, 200, 30, 10];330;צרלי;22199;(2, 5, 11, 7, 22199);תמצאו;3;(2, 5, 11, 22, 84139);אתם לכו קחו לכם תבן מאשר תמצאו כי אין נגרע מעבדתכם דבר
